Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,0
Rooty Hill,Rooty Hill North,Rd,Ramp,-33.77124814,150.8438721,244
Rosehill,James Ruse,Dr,Stairs,-33.82303843,151.0222311,245
Roseville,Hill,St,Ramp,-33.78434859,151.1778664,246
Rozelle Bay LR,The Crescent,,Stairs,-33.8717488,151.1728699,247
Rydalmere,Brodie,St,Path,-33.81015641,151.0294797,248
Sandgate,Astra,St,Stairs,-32.87279417,151.7028016,249
Scarborough,Railway,Av,Stairs,-34.26551615,150.9651941,250
Schofields,Railway,Trc,Stairs,-33.70418713,150.8739328,251
Scone,Susan,St,Path,-32.04670656,150.8670728,252
Sefton,Helen,St,Stairs,-33.88516069,151.0116714,253
Seven Hills,Prospect,Hwy,Lift,-33.77407161,150.9360893,254
Shellharbour,Piper,Dr,Lift,-34.59122591,150.8446697,255
Singleton,Munro,St,Path,-32.57183342,151.1654861,256
Springwood,Station,St,Ramp,-33.69896475,150.5633045,257
St James,James,Rd,Stairs,-33.86992775,151.2114985,258
St Leonards,Sergeants,Ln,Lift,-33.82222391,151.1947607,259
St Marys,Forrester,Rd,Stairs,-33.76188001,150.7749259,260
St Peters,Lord,St,Path,-33.90694267,151.1806495,261
Stanmore,Douglas,St,Ramp,-33.89416485,151.1642047,262
Stanwell Park,Railway,Cres,Stairs,-34.22614425,150.9810046,263
Strathfield,Everton,Rd,Stairs,-33.87134403,151.0944811,264
Summer Hill,Grosvenor ,Cres,Lift,-33.89010644,151.1387528,265
Sutherland,East,Pde,Path,-34.0315567,151.0573425,266
Sydenham,Gleeson,Av,Path,-33.9148634,151.1660472,267
Tahmoor,Pitt,St,Path,-34.22346581,150.5898308,268
Tallong,Railway,Pde,Path,-34.71837568,150.0860928,269
Tarro,Woodberry ,Rd,Stairs,-32.80882092,151.6694636,270
Tascott,Glenrock,Pde,Ramp,-33.45077303,151.3187403,271
Taverners Hill,Parramatta ,Rd,Lift,-33.8895669,151.145176,272
Telarah,Johnson,St,Ramp,-32.72323179,151.5398951,273
Telopea,Sturt,St,Path,-33.79400629,151.041781,274
Tempe,Richardson,Cres,Stairs,-33.92358032,151.1564713,275
Teralba,Railway,St,Stairs,-32.96216248,151.6036419,276
The Star,Pirrama,Rd,Path,-33.8672709,151.1957096,277
Thirroul,Station,St,Stairs,-34.31786015,150.9193757,278
Thornleigh,The Esplanade,,Stairs,-33.73180916,151.0781183,279
Thornton,Karuah ,St,Lift,-32.78356119,151.6399551,280
Toongabbie,Wentworth,Av,Ramp,-33.78699939,150.9516071,281
Town Hall,George,St,Stairs,-33.87300204,151.2066961,282
Towradgi,Towradgi,Rd,Ramp,-34.38408404,150.9016675,283
Tuggerah,Pacific,Hwy,Ramp,-33.30747496,151.4200755,284
Turramurra,Rohini,St,Path,-33.73258953,151.1290978,285
Turrella,Reede,St,Stairs,-33.92977422,151.1404283,286
Unanderra,Berkeley,Rd,Stairs,-34.45480327,150.8454954,287
Valley Heights,Great Western,Hwy,Ramp,-33.70385585,150.5840194,288
Victoria Street,Waller,St,Stairs,-32.75096544,151.5941378,289
Villawood,River,Av,Stairs,-33.88074082,150.9773471,290
Vineyard,Bandon,Rd,Ramp,-33.65018802,150.851063,291
Wahroonga,Redleaf,Av,Stairs,-33.71800187,151.1175185,292
Waitara,Alexandria,Pde,Path,-33.71028639,151.105246,293
Wallarobba,Wallarobba Brookfield,Rd,Ramp,-32.49615032,151.6956921,294
Warabrook,Eucalyptus ,Cr,Ramp,-32.88698384,151.7111872,295
Waratah,Platt,St,Stairs,-32.90210317,151.731215,296
Waratah Mills LR,Weston,St,Path,-33.8988126,151.1398647,297
Warnervale,Warnervale,Rd,Path,-33.24713278,151.4488456,298
Warrawee,Warrawee,Av,Path,-33.72439373,151.1220398,299
Warrimoo,Railway,Pde,Stairs,-33.72132609,150.6029511,300
Warwick Farm,Warwick,St,Stairs,-33.91318088,150.9353246,301
Waterfall,Kooraban,St,Ramp,-34.13517267,150.994605,302
Waverton,Bay,Rd,Path,-33.83756728,151.1974683,303
Wentworth Falls,Railway,Pde,Stairs,-33.70932977,150.3764898,304
Wentworth Park,Pyrmont Bridge,Rd,Path,-33.8742417,151.1940945,305
Wentworthville,Wentworth,Av,Ramp,-33.80667668,150.971932,306
Werrington,Victoria,Ln,Lift,-33.75903757,150.7574454,307
West Ryde,West,Pde,Ramp,-33.80687546,151.0901576,308
Westmead,Railway,Pde,Ramp,-33.80819002,150.9877158,309
Wiley Park,King Georges ,Rd,Ramp,-33.92270486,151.0680185,310
Windsor,Cox,St,Path,-33.61292723,150.8090296,311
Wingello,Sydney,St,Path,-34.69201661,150.1582058,312
Wirragula,Dungog,Rd,Ramp,-32.46292679,151.7424687,313
Wolli,Brodie Spark,Dr,Stairs,-33.92867126,151.1544432,314
Wollongong,Crown,St,Path,-34.42582725,150.8886385,315
Wollstonecraft,Milray,Av,Path,-33.83146743,151.1915732,316
Wombarra,Morrison,Av,Stairs,-34.27530416,150.9535083,317
Wondabyne,Wondabyne Wharf,,Ramp,-33.49202131,151.2571482,318
Woodford,Great Western,Hwy,Ramp,-33.73526715,150.4808855,319
Woolooware,Swan,St N,Stairs,-34.04741225,151.1437622,320
Woonona,Park,Rd,Ramp,-34.34932926,150.9151104,321
Woy Woy,Railway,St,Ramp,-33.48527377,151.3237255,322
Wyee,Wyee,Rd,Ramp,-33.17984054,151.48724,323
Wynyard,Jamison,St,Path,-33.86445369,151.2053161,324
Wyong,Howarth,St,Stairs,-33.28508373,151.4255992,325
Yagoona,Hume,Hwy,Path,-33.90733106,151.0246767,326
Yennora,Nelson,Rd,Stairs,-33.86462082,150.9709456,327
Yerrinbool,Old Hume,Hwy,Path,-34.37159251,150.5434481,328
Zig Zag,Bells,Rd,Stairs,-33.47184198,150.2021194,329
